,Disease Name,Sentence,Spacy Tokens Target,BERT Tokens Target
1548,allergies,Antibiotic allergies in children and adults: from clinical symptoms to skin testing diagnosis,[0 1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
1549,,Reproductive functions of progesterone receptors,[0 0 0 0 0],[0 0 0 0 0 0 0 0]
1550,,Pupillary dilatation with single eyedrop mydriatic combinations.,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1551,,Medication underuse during long-term follow-up in patients with peripheral arterial disease,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1552,,Huntington disease,[0 0],[0 0]
1553,atrial atrial fibrillation,Relation between echocardiographically determined left atrial size and atrial fibrillation.,[0 0 0 0 0 1 0 0 1 1 0],[0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 1 0]
1554,,Atherosclerotic plaque rupture–pathologic basis of plaque stability and instability,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1555,pelvic organ prolapse,Conservative prevention and management of pelvic organ prolapse in women,[0 0 0 0 0 1 1 1 0 0],[0 0 0 0 0 1 1 1 1 1 1 1 0 0]
1556,,"Morphology of the human atrioventricular node, with remarks pertinent to its electrophysiology",[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1557,haemorrhoids,Hypertensive anal cushions as a cause of the high anal canal pressures in patients with haemorrhoids,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1]
1558,syphilis,Biological basis for syphilis,[0 0 0 1],[0 0 0 1 1 1]
1559,anxiety disorders in children,Vulnerability factors for anxiety disorders in children and adolescents,[0 0 0 1 1 1 1 0 0],[0 0 0 1 1 1 1 0 0]
1560,lymphogranuloma venereum,Syphilitic and lymphogranuloma venereum (LGV) proctocolitis: clues to a frequently missed diagnosis,[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1561,,"Human oral mucosa: development, structure and function",[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1562,chlamydia,Chlamydia pneumoniae (TWAR),[1 0 0 0 0],[1 1 1 1 0 0 0 0 0 0]
1563,genital warts,Risk factors for the acquisition of genital warts: are condoms protective?,[0 0 0 0 0 0 1 1 0 0 0 0 0],[0 0 0 0 0 0 1 1 1 1 0 0 0 0 0]
1564,,Glycated hemoglobin,[0 0],[0 0 0 0 0 0 0]
1565,,Epidemiological and clinical characteristics of Meniere's disease in Japan,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1566,nit head lice and,Comparative efficacy of two nit combs in removing head lice (Pediculus humanus var. capitis) and their eggs,[0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0],[0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
1567,prostate cancer,The diagnosis and treatment of prostate cancer: a review,[0 0 0 0 0 1 1 0 0 0],[0 0 0 0 0 1 1 0 0 0]
1568,brain tumours,Primary brain tumours in adults,[0 1 1 0 0],[0 1 1 1 1 0 0]
1569,breast cancer,Impact of lymphoedema on arm function and health-related quality of life in women following breast cancer surgery.,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0]
1570,fibroids,Why leiomyomas are called fibroids: the central role of extracellular matrix in symptomatic women,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1571,asthma,The role of allergy in the development of asthma,[0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 1]
1572,,Age at autism spectrum disorder diagnosis: A systematic review and meta-analysis from 2012 to 2019,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1573,,Does this patient have a clinically important carotid bruit?,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1574,,Antibacterial activity of chitosans and chitosan oligomers with different molecular weights,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1575,ovarian cancer,Ovarian cancer,[1 1],[1 1 1 1]
1576,,Improving outcomes for teenagers and young adults (TYA) with cancer,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
1577,,Economic considerations associated with Pediculus humanus capitis infestation,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1578,,Transcranial Doppler ultrasonography: From methodology to major clinical applications,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1579,ovarian cysts,Endometriotic ovarian cysts negatively affect the rate of spontaneous ovulation,[0 1 1 0 0 0 0 0 0 0],[0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0]
1580,cough,Cough and phlegm are important predictors of health status in smokers without COPD,[1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1581,irritable bowel syndrome,Epidemiology of irritable bowel syndrome in the United States,[0 0 1 1 1 0 0 0 0],[0 0 0 0 0 1 1 1 1 1 1 0 0 0 0]
1582,lung cancer,Receiving a diagnosis of inoperable lung cancer: patients' perspectives of how it affects their life situation and quality of life,[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1583,,The nucleus accumbens: a comprehensive review,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1584,,Titin gene mutations are common in families with both peripartum cardiomyopathy and dilated cardiomyopathy,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1585,,Urticaria and infections,[0 0 0],[0 0 0 0 0]
1586,,Studies on Ringworm. Part VI. Ringworm of the Glabrous Skin. A Statistical Survey,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1587,,Complications of phacoemulsification,[0 0 0],[0 0 0 0 0 0 0]
1588,,Obstetric hemorrhage,[0 0],[0 0 0 0 0 0 0]
1589,,"Gum disease, Periodontitis and Human Body a unique Tried: A literature review.",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1590,breast cancer,"Past, present, and future challenges in breast cancer treatment",[0 0 0 0 0 0 0 0 1 1 0],[0 0 0 0 0 0 0 0 1 1 0]
1591,,The cells of the islets of Langerhans,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1592,,Opioid pseudoaddiction—an iatrogenic syndrome,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
1593,earwax build - up,Does olive oil prevent earwax build-up? An experimental study,[0 0 0 0 1 1 1 1 0 0 0 0],[0 0 0 0 1 1 1 1 1 1 0 0 0 0]
1594,,Malaria biology and disease pathogenesis: insights for new treatments,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1595,cirrhosis,Cirrhosis and chronic liver failure: Part I Diagnosis and evaluation,[1 0 0 0 0 0 0 0 0 0 0],[1 1 1 0 0 0 0 0 0 0 0 0 0]
1596,,Autoimmune gastritis,[0 0],[0 0 0 0 0 0 0]
1597,lung cancer,"Small-cell lung cancer: what we know, what we need to know and the path forward",[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1598,,Peripheral Neuropathy: The Morphological Basis for Alterations in Nerve Conduction in Peripheral Neuropathy,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1599,rhabdomyosarcoma,Rhabdomyosarcoma in adolescent and young adult patients: current perspectives,[1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0]
1600,,Hormones and neurosecretion,[0 0 0],[0 0 0 0 0 0 0]
1601,brain stem brain death,Auditory brain-stem responses in brain death.,[0 1 0 1 0 0 1 1 0],[0 1 0 1 0 0 1 1 0]
1602,,Vaccines and vaccination,[0 0 0],[0 0 0 0 0]
1603,,Neonatal hyperbilirubinaemia: a global perspective,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1604,,"Schizophrenia,“just the facts”: what we know in 2008: part 1: overview",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1605,,Parasomnias,[0],[0 0 0 0]
1606,,The most essential nutrient: defining the adequate intake of water,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1607,multiple myeloma,The diagnosis and treatment of multiple myeloma,[0 0 0 0 0 1 1],[0 0 0 0 0 1 1 1 1]
1608,,Biocatalysts and enzyme technology,[0 0 0 0],[0 0 0 0 0 0 0]
1609,,Recent advances in detrusor muscle function,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
1610,,Brain tumors in children,[0 0 0 0],[0 0 0 0]
1611,,Syncope,[0],[0 0]
1612,heart failure,Epidemiology of heart failure,[0 0 1 1],[0 0 0 0 0 1 1]
1613,lung cancer,The epidemiology of lung cancer,[0 0 0 1 1],[0 0 0 0 0 0 1 1]
1614,sunburn,The human sunburn reaction: histologic and biochemical studies,[0 0 1 0 0 0 0 0 0],[0 0 1 1 0 0 0 0 0 0 0 0 0]
1615,gallbladder cancer,Practical guidelines for the surgical treatment of gallbladder cancer,[0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 1 1 1 1]
1616,,Pathophysiology of ringworm infections in animals with skin cycles,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1617,hyperglycaemia,Insulin resistance and hyperglycaemia in cardiovascular disease development,[0 0 0 1 0 0 0 0],[0 0 0 1 1 1 1 0 0 0 0]
1618,,Development of materials for speech audiometry,[0 0 0 0 0 0],[0 0 0 0 0 0 0]
1619,,Mechanisms of dyspnea,[0 0 0],[0 0 0 0 0 0]
1620,adenomyosis,How common is adenomyosis? A prospective study of prevalence using transvaginal ultrasound in a gynaecology clinic,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1621,malaria,Malaria in India: the center for the study of complex malaria in India,[0 0 0 0 0 0 0 0 0 0 0 1 0 0],[0 0 0 0 0 0 0 0 0 0 0 1 0 0]
1622,,"Heinrich Hertz: classical physicist, modern philosopher",[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1623,glandular fever,Screening for glandular fever in patients with Quinsy: is it necessary?,[0 0 1 1 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
1624,,Living will statutes: the first decade,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0]
1625,,The worldwide impact of the seven-valent pneumococcal conjugate vaccine,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1626,non - alcoholic fatty liver disease,Non-alcoholic fatty liver disease as a cause and a consequence of metabolic syndrome,[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0]
1627,,Anomalous right coronary artery from the left coronary sinus with an interarterial course: is it really dangerous?,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1628,,"The sacrum: pathologic spectrum, multimodality imaging, and subspecialty approach",[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1629,,LDL-cholesterol concentrations: a genome-wide association study,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1630,thyroid cancer,Use of radioactive iodine for thyroid cancer,[0 0 0 0 0 1 1],[0 0 0 0 0 0 1 1]
1631,,Integrins and the myocardium,[0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1632,,Necrosis: a specific form of programmed cell death?,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1633,,Concurrent training in elite male runners: the influence of strength versus muscular endurance training on performance outcomes,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1634,itch,Specific C-receptors for itch in human skin,[0 0 0 0 0 1 0 0 0],[0 0 0 0 0 1 1 0 0 0]
1635,,Positron emission tomography,[0 0 0],[0 0 0 0 0 0]
1636,,Guidelines for laser hair removal,[0 0 0 0 0],[0 0 0 0 0]
1637,hearing loss,The impact of hearing loss on the quality of life of elderly adults,[0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 1 1 0 0 0 0 0 0 0 0]
1638,,Chondromalacia patellae: a system of classification.,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1639,ovarian cancer,Epidemiology of ovarian cancer: a review,[0 0 1 1 0 0 0],[0 0 0 0 0 1 1 1 1 0 0 0]
1640,post - traumatic stress disorder,Post-traumatic stress disorder in the community: an epidemiological study,[1 1 1 1 1 0 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]
1641,,Fortnightly review: Faecal incontinence,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1642,,Consolidation of memory,[0 0 0],[0 0 0]
1643,febrile seizures,Predictors of recurrent febrile seizures: a prospective cohort study,[0 0 0 1 1 0 0 0 0 0],[0 0 0 0 0 1 1 1 1 0 0 0 0 0 0]
1644,personality disorder personality disorder,Why borderline personality disorder is neither borderline nor a personality disorder,[0 0 1 1 0 0 0 0 0 1 1],[0 0 0 1 1 0 0 0 0 0 0 1 1]
1645,neuroendocrine tumours,Prognostic factors of long-term outcome in gastroenteropancreatic neuroendocrine tumours,[0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1]
1646,dehydration,Validity and reliability of clinical signs in the diagnosis of dehydration in children,[0 0 0 0 0 0 0 0 0 0 1 0 0],[0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0]
1647,,The cervical spine,[0 0 0],[0 0 0]
1648,iron deficiency anaemia,Guidelines for the management of iron deficiency anaemia,[0 0 0 0 0 1 1 1],[0 0 0 0 0 1 1 1 1]
1649,,The neurologist as neuroimager,[0 0 0 0],[0 0 0 0 0 0 0 0 0]
1650,dehydration,"The burden and outcomes associated with dehydration among US elderly, 1991.",[0 0 0 0 0 0 1 0 0 0 0 0 0],[0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0]
1651,itching,Itching for an explanation,[1 0 0 0],[1 1 0 0 0]
1652,,Using ACE inhibitors appropriately,[0 0 0 0],[0 0 0 0]
1653,,"Input, interaction and output: An overview",[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
1654,,Outcomes of the Bowel Cancer Screening Programme (BCSP) in England after the first 1 million tests,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1655,,The architecture of the human fovea,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
1656,panic disorder panic disorder,Panic disorder: a review of DSM‐IV panic disorder and proposals for DSM‐V,[1 1 0 0 0 0 0 1 1 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
1657,chronic kidney disease,Estimated glomerular filtration rate (eGFR): A serum creatinine-based test for the detection of chronic kidney disease and its impact on clinical practice,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0]
1658,,Patau syndrome,[0 0],[0 0 0]
1659,soft tissue sarcomas,The grading of soft tissue sarcomas results of a clinicohistopathologic correlation in a series of 163 cases,[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1660,,How to become a geriatrician in different European countries,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1661,dermatitis herpetiformis,Distinct characteristics in Japanese dermatitis herpetiformis: a review of all 91 Japanese patients over the last 35 years,[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
1662,,The diastolic blood pressure in systolic hypertension,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1663,,HIV infection,[0 0],[0 0]
1664,chickenpox,Chickenpox in adults–clinical management,[1 0 0 0 0 0],[1 1 1 0 0 0 0 0]
1665,functional neurological disorder,Decade of progress in motor functional neurological disorder: continuing the momentum,[0 0 0 0 0 1 1 1 0 0 0 0],[0 0 0 0 0 1 1 1 0 0 0 0]
1666,,"Systematic review: ageing and gastro‐oesophageal reflux disease symptoms, oesophageal function and reflux oesophagitis",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1667,prostate cancer,The role of increasing detection in the rising incidence of prostate cancer,[0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 1 1]
1668,,Age-related macular degeneration,[0 0 0 0 0],[0 0 0 0 0 0 0 0]
1669,,Acute lymphoblastic leukemia in adolescents and young adults,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1670,pleurisy,Tuberculous pleurisy: an acute illness,[0 1 0 0 0 0],[0 0 0 1 1 1 1 0 0 0 0]
1671,,"The national polyp study design, methods, and characteristics of patients with newly diagnosed polyps",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1672,cirrhosis,Epidemiology of cirrhosis of the liver: national mortality data.,[0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0]
1673,coronavirus,"Evidence of person-to-person transmission within a family cluster of novel coronavirus infections, United Kingdom, February 2013",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
1674,hodgkin lymphoma,Differences in non-Hodgkin lymphoma survival between young adults and children,[0 0 0 0 1 1 0 0 0 0 0 0],[0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0]
1675,arthritis,Reactive arthritis,[0 1],[0 1]
1676,middle ear infections,Severe acute middle ear infections: microbiology and treatment,[0 0 1 1 1 0 0 0 0],[0 0 1 1 1 0 0 0 0 0]
1677,lung cancer,The International Association for the Study of Lung Cancer international staging project on lung cancer,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
1678,diabetes,WHO Global report on diabetes: A summary,[0 0 0 0 1 0 0 0],[0 0 0 0 1 0 0 0]
1679,cough cough,The physical parameters of cough: the larynx in a normal single cough,[0 0 0 0 1 0 0 0 0 0 0 0 1],[0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]
1680,,Epidemiology of laryngeal cancer,[0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1681,acute pancreatitis acute pancreatitis,JPN Guidelines for the management of acute pancreatitis: medical management of acute pancreatitis,[0 0 0 0 0 0 1 1 0 0 0 0 1 1],[0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 1 1 1]
1682,,A randomised controlled trial of a community based group guided self-help intervention for low mood and stress,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1683,arthritis,Anti-cyclic citrullinated peptide antibody is associated with interstitial lung disease in patients with rheumatoid arthritis,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
1684,depression,Antenatal risk factors for postnatal depression: a large prospective study,[0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
1685,,Achilles tendon disorders in athletes,[0 0 0 0 0],[0 0 0 0 0 0]
1686,hypoglycaemia,Hypoglycaemia in type 2 diabetes,[1 0 0 0 0],[1 1 1 1 1 1 0 0 0 0]
1687,testicular cancer,Risk of testicular cancer in subfertile men: case-control study,[0 0 1 1 0 0 0 0 0 0 0 0],[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0]
1688,,The epidemiology of published norovirus outbreaks: a review of risk factors associated with attack rate and genogroup,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1689,conjunctivitis,Conjunctivitis of allergic origin: clinical presentation and differential diagnosis,[1 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0 0 0 0]
1690,slapped cheek syndrome,Common childhood illnesses: slapped cheek syndrome,[0 0 0 0 1 1 1],[0 0 0 0 1 1 1]
1691,psoriasis,Treatment of intertriginous psoriasis: from the Medical Board of the National Psoriasis Foundation,[0 0 0 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
1692,,The Ultrastructure of the Heart in Systole and Diastole: > Changes In Sarcomere Length,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1693,,Prokaryotic motility structures,[0 0 0],[0 0 0 0 0 0 0]
1694,,Meditation on the breath: mindfulness and focused attention,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1695,,Mechanical properties and composition of cortical bone.,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1696,fibromyalgia,Fibromyalgia: a critical and comprehensive review,[1 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0]
1697,,The safety of osmotically acting cathartics in colonic cleansing,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1698,dementia,"Risk of dementia in Parkinson's disease: a community-based, prospective study",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
1699,,Magnetic resonance imaging of myelin,[0 0 0 0 0],[0 0 0 0 0 0]
1700,bladder cancer,Bladder cancer in 2010: how far have we come?,[1 1 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0]
1701,rosacea,"Clinical, cellular, and molecular aspects in the pathophysiology of rosacea",[0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
1702,,Hypogonadism and metabolic syndrome,[0 0 0 0],[0 0 0 0 0 0 0 0]
1703,indigestion,Indigestion: When is it functional?,[1 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0]
1704,,Study on the anatomical dimensions of the human sigmoid colon,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1705,,Summary: The Natural History and Immunobiology of Chlamydia trachomatis Genital Infection and Implications for Chlamydia Control,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1706,,Acute lymphoblastic leukemia in adolescent and young adults: treat as adults or as children?,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1707,,Survival of HIV-positive patients starting antiretroviral therapy between 1996 and 2013: a collaborative analysis of cohort studies,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1708,,A primer in positive psychology,[0 0 0 0 0],[0 0 0 0 0 0]
1709,depression,Postpartum depression: a review,[0 1 0 0 0],[0 0 0 1 0 0 0]
1710,sore throat,Clinical symptoms and signs in sore throat patients with large colony variant β-haemolytic streptococci groups C or G versus group A,[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1711,,Going viral,[0 0],[0 0]
1712,,Leukotrienes promote plasma leakage and leukocyte adhesion in postcapillary venules: in vivo effects with relevance to the acute inflammatory response.,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1713,angioedema,Angioedema,[1],[1 1 1 1]
1714,testicular cancer,Increasing incidence of testicular cancer in the United States and Europe between 1992 and 2009,[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0]
1715,,Proliferative retinopathies: angiogenesis that blinds,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
1716,,Noncompaction of the ventricular myocardium,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
1717,motor neurone disease,Motor neurone disease: a practical update on diagnosis and management,[1 1 1 0 0 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0 0 0]
1718,,Allocation of attention in the visual field.,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
1719,,The rfb protocol,[0 0 0],[0 0 0 0]
1720,chronic lymphocytic leukaemia,Chronic lymphocytic leukaemia: from genetics to treatment,[1 1 1 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 0 0 0 0 0]
1721,,Diagnosis and treatment of tricuspid valve disease: current and future perspectives,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
